rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,lsoa_code,lsoa_name,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,family_area_rating,area_safety_percentile,imd_lower_deprivation_percentile,imd_rank,imd_decile,imd_score,imd_lsoa_name,imd_local_authority,recent_family_crime_weighted_count_1mi,recent_crime_total_count_1mi,recent_crime_month,full_address
1,1,Southfield Primary School,Ealing,101890,4 to 11,33,377.0,33.0,Does not apply,False,1,16.0,23.5625,False,99.29004854368932,100.0,39.0,113.0,115.0,115.0,114.33333333333333,W4 1BD,51.50133,-0.256702,E01001375,Ealing 034A,150,1237658,1152500,63.8,36.3,91.3,29992,10,5.53,Ealing 034A,Ealing,957.9,895,2026-03,"Southfield Road, Bedford Park, London, W4 1BD"
2,1,Addison Primary School,Hammersmith and Fulham,100321,3 to 11,28,200.0,46.0,Does not apply,False,2,9.15,21.85792349726776,False,99.18082524271846,93.0,39.0,115.0,115.0,116.0,115.33333333333333,W14 0DT,51.500295,-0.218329,E01001851,Hammersmith and Fulham 010A,115,2022300,1750000,38.6,14.0,63.2,20771,7,13.267,Hammersmith and Fulham 010A,Hammersmith and Fulham,1594.4,1471,2026-03,"Addison Gardens, Blythe Road, London, W14 0DT"
3,1,Yardley Primary School,Waltham Forest,136364,3 to 11,59,521.0,14.0,Does not apply,False,3,20.85,24.988009592326136,False,99.14441747572815,97.0,37.0,113.0,114.0,116.0,114.33333333333333,E4 7PH,51.640667,-0.006449,E01004349,Waltham Forest 001A,31,527035,525000,59.6,94.5,24.6,8091,3,29.854,Waltham Forest 001A,Waltham Forest,159.7,118,2026-03,"Hawkwood Crescent, London, E4 7PH"
4,1,Park Academy,Merton,141027,4 to 11,16,127.0,38.0,None,False,4,7.68,16.536458333333336,False,99.05339805825243,94.0,44.0,114.0,113.0,115.0,114.0,SW19 3EF,51.408695,-0.194197,E01003426,Merton 015D,72,897934,907500,66.4,59.0,73.8,24238,8,10.223,Merton 015D,Merton,535.4,467,2026-03,"200 Dorset Road, London, SW19 3EF"
5,1,Barnes Primary School,Richmond upon Thames,102902,3 to 11,51,468.0,6.0,Does not apply,False,5,23.69,19.755170958210215,False,98.88956310679612,96.0,39.0,114.0,112.0,116.0,114.0,SW13 0QQ,51.469444,-0.250185,E01003853,Richmond upon Thames 003B,206,1269457,1150000,77.3,85.3,69.4,22779,7,11.466,Richmond upon Thames 003B,Richmond upon Thames,270.7,261,2026-03,"Cross Street, Barnes, London, SW13 0QQ"
6,2,Good Shepherd RC Primary School,Hammersmith and Fulham,100354,3 to 11,27,227.0,26.0,Roman Catholic,True,,9.4,24.148936170212764,False,98.7621359223301,100.0,41.0,114.0,112.0,114.0,113.33333333333333,W12 9BY,51.502829,-0.245622,E01001865,Hammersmith and Fulham 008B,148,1166192,1105000,44.3,26.7,61.9,20324,7,13.639,Hammersmith and Fulham 008B,Hammersmith and Fulham,1154.4,1049,2026-03,"35 Gayford Road, London, W12 9BY"
7,1,St James & St John Church of England Primary School,Westminster,101132,3 to 11,22,174.0,23.0,Church of England,True,,9.0,19.333333333333332,False,98.58009708737863,95.0,32.0,114.0,116.0,115.0,115.0,W2 3QD,51.51295,-0.17924,E01004694,Westminster 016C,48,2944348,2325000,45.5,10.3,80.7,26491,9,8.45,Westminster 016C,Westminster,1703.3,1582,2026-03,"4 Craven Terrace, London, W2 3QD"
8,1,Our Lady of Lourdes RC Primary School,Redbridge,147337,3 to 11,52,448.0,13.0,Roman Catholic,True,,19.3,23.212435233160623,False,98.42233009708738,94.0,38.0,113.0,112.0,115.0,113.33333333333333,E11 2TA,51.574659,0.02055,E01003779,Redbridge 014F,72,907273,899500,64.5,68.7,60.4,19836,7,14.112,Redbridge 014F,Redbridge,407.5,348,2026-03,"Chestnut Drive, Wanstead, London, E11 2TA"
9,2,Deer Park School,Richmond upon Thames,142012,4 to 11,30,389.0,3.0,None,False,6,17.6,22.102272727272727,False,98.41019417475728,97.0,33.0,114.0,113.0,114.0,113.66666666666667,TW1 2EF,51.456121,-0.30994,E01003893,Richmond upon Thames 009B,72,1553617,1317500,81.3,75.3,87.3,28660,9,6.7,Richmond upon Thames 009B,Richmond upon Thames,338.5,298,2026-03,"389 Richmond Road, Twickenham, TW1 2EF"
10,1,St Stephen's Catholic Primary School,Bexley,101455,5 to 11,60,418.0,12.0,Roman Catholic,True,,19.51,21.42491030240902,False,98.27063106796116,93.0,45.0,112.0,113.0,114.0,113.0,DA16 3QG,51.464153,0.104048,E01000414,Bexley 016E,52,458649,470000,73.5,85.0,61.9,20333,7,13.631,Bexley 016E,Bexley,273.5,226,2026-03,"Ruskin Avenue, Welling, DA16 3QG"
